model,oos_r2,rmse,mae,ic,ic_ir,xs_oos_r2,accuracy,precision,recall,f1,long_only_accuracy,n_long_predictions,sharpe_ratio,max_drawdown,total_return,win_rate,win_loss_ratio,n_trades,final_equity,n_periods,window,feature_set,scheme,horizon,train_start,train_end,test_start,test_end,n_train,n_test
XGBoost,-0.0007624112948241,0.0331866182697184,0.0239785755985609,-0.0510940004947189,-0.2663310050054753,-0.000757074168235,0.4785714285714286,0.4648735447611401,0.6447661469933185,0.5402379286214136,0.4648735447611401,2491,-3.0168812288107887,-0.0973231693660331,-9.930265432545582,0.3333333333333333,0.6720376108401793,660,9006.973456745442,63,31,D,rolling_9m_3m,5,2023-10-20,2024-07-23,2024-07-24,2024-10-21,11040,3780
OLS,-0.001692967633762,0.0280214292949558,0.0193376009543613,0.0085899674768101,0.2797560244635789,-0.0012994772131742,0.5006725854183481,0.5043057050592035,0.500534188034188,0.5024128686327077,0.5043057050592035,1858,0.6778302690709629,-0.0579592009443278,2.5145518579869464,0.5555555555555556,1.0170892663972235,387,10251.455185798695,63,0,repr_svi,expanding,5,2016-01-04,2018-01-02,2018-01-03,2018-04-04,29441,3717
OLS,0.0138036592509985,0.0276952982222996,0.0201863204592371,0.1247447281784858,0.72635049534595,0.0142180486481323,0.5404896421845574,0.5216,0.5466741196198994,0.5338427947598253,0.5216,1875,3.7193641388691705,-0.0313815638567616,34.796476723981115,0.7142857142857143,2.0285370789056936,359,13479.647672398112,63,1,repr_svi,expanding,5,2016-01-04,2018-04-04,2018-04-05,2018-07-03,33158,3717
OLS,0.0042914144630614,0.0297337327908241,0.0200240688252256,0.0814354787147018,0.8870619375554373,0.0044795239415469,0.5386064030131826,0.5349492671927847,0.5160413268080478,0.5253252145031829,0.5349492671927847,1774,2.6723189702734533,-0.032712718588203,20.426434283566607,0.6190476190476191,2.0065574420657692,412,12042.64342835666,63,2,repr_svi,expanding,5,2016-01-04,2018-07-03,2018-07-05,2018-10-02,36875,3717
OLS,-0.0043175646996584,0.0378772975787578,0.0257604702145248,-0.0633144272201844,0.0063173424182461,-0.0040667706444261,0.4837234328759752,0.4911122397155916,0.5132696390658175,0.5019465351674021,0.4911122397155916,1969,-0.6256933058578881,-0.187160065150687,-6.179219694517402,0.4761904761904761,0.8464068717965859,273,9382.07803054826,63,3,repr_svi,expanding,5,2016-01-04,2018-10-02,2018-10-03,2019-01-03,40592,3717
OLS,-0.0013050456072998,0.0277133736275132,0.0186828433901994,-0.0125479721181313,0.2179186658590536,-0.0011083729289449,0.4915254237288136,0.5082467929138669,0.4340114762649973,0.4682048396173325,0.5082467929138669,1637,0.0980035221408175,-0.0639474975888456,0.3996019390276828,0.492063492063492,1.06953050742317,331,10039.960193902769,63,4,repr_svi,expanding,5,2016-01-04,2019-01-03,2019-01-04,2019-04-04,44309,3717
OLS,-0.0107060633137017,0.0276499858770649,0.0194222601393629,-0.0652755722935605,0.0250067871090929,-0.0105095211599364,0.4971751412429379,0.5294915254237288,0.3992842535787321,0.4552608568930341,0.5294915254237288,1475,-2.015238568716327,-0.1965357740949293,-14.65612722779317,0.4285714285714285,0.6089014638400873,349,8534.387277220683,63,5,repr_svi,expanding,5,2016-01-04,2019-04-04,2019-04-05,2019-07-05,48026,3717
OLS,-0.0107708917637994,0.0283603823709777,0.0200040994734179,-0.0828633845378098,0.170152580005947,-0.010532787007742,0.4745762711864407,0.4674237895995218,0.4240780911062907,0.4446971851009383,0.4674237895995218,1673,-2.244948277303215,-0.0953273257056804,-9.649601284106724,0.238095238095238,1.339012708586814,305,9035.039871589328,63,6,repr_svi,expanding,5,2016-01-04,2019-07-05,2019-07-08,2019-10-03,51743,3717
OLS,0.0113755711309807,0.0262559502452155,0.0177172297594083,0.0524462499690661,0.4290128707796377,0.0115957850448947,0.5264998654829164,0.4890068233510235,0.3726169844020797,0.4229508196721311,0.4890068233510235,1319,2.3481799373585255,-0.0824141583355393,13.895850939108945,0.6984126984126984,1.01049785393182,250,11389.585093910897,63,7,repr_svi,expanding,5,2016-01-04,2019-10-03,2019-10-04,2020-01-03,55460,3717
OLS,0.0013222067400664,0.0587753264560982,0.0380426656549814,0.0209495107515297,0.3615568696624547,0.0014551057516577,0.4928705945655098,0.4765372168284789,0.3223864258347017,0.3845902709761671,0.4765372168284789,1236,0.3934909723163247,-0.2391823407558249,7.780574339790092,0.5079365079365079,1.156227586758679,280,10778.05743397901,63,8,repr_svi,expanding,5,2016-01-04,2020-01-03,2020-01-06,2020-04-03,59177,3717
