n_periods,mean_return,annualized_return,annualized_vol,sharpe,max_drawdown,total_return,win_rate,strategy,top_n,bottom_n,effective_spread_fraction,short_fee_bps_annual,horizon,rebalance_every,avg_turnover,avg_spread_cost,avg_short_fee_cost,model,feature_set,scheme,cost_scheme,hurdle_bps
1701,0.0001631959631589,0.0419792477364331,0.2408410081210372,0.1743027404840292,-0.5485610472481469,0.0854232744537077,0.5044091710758377,long_short_decile,6.0,6.0,0.25,50.0,1,1,2.230256711738193,0.0002787698412698,1.984126984126984e-05,XGBoost,B,expanding,25pct_spread,
1701,4.1800241454606376e-05,0.0105891126852046,0.2735781769629976,0.0387059845297415,-0.5840643568626754,-0.1668926194956954,0.0840681951793062,long_flat_hurdle,,,0.25,,1,1,0.2721914280115338,3.402392850144173e-05,,XGBoost,B,expanding,25pct_spread,10.0
2016,0.0004490959821428,0.1197962874054292,0.2145123857965164,0.5584586035002491,-0.4124850581099362,1.0570568310833952,0.5133928571428571,long_short_decile,6.0,6.0,0.15,50.0,1,1,2.4356812169312163,0.0001826760912698,1.984126984126983e-05,XGBoost,B,rolling_9m_3m,15pct_spread,
2016,0.0009670847580012,0.2758180657644431,0.3193860460933565,0.8635883412508933,-0.3753205669977739,3.703793840794371,0.2033730158730158,long_flat_hurdle,,,0.15,,1,1,0.4955674638686215,3.7167559790146615e-05,,XGBoost,B,rolling_9m_3m,15pct_spread,10.0
2016,0.0003273119212962,0.0859651256572608,0.2145200434954082,0.4007323710015049,-0.4439328810207007,0.6092964522016944,0.5099206349206349,long_short_decile,6.0,6.0,0.25,50.0,1,1,2.4356812169312163,0.0003044601521164,1.984126984126983e-05,XGBoost,B,rolling_9m_3m,25pct_spread,
2016,0.0009423063848078,0.2678840372995865,0.3193478481366786,0.8388471657555496,-0.3782618966844432,3.475057124222115,0.2028769841269841,long_flat_hurdle,,,0.25,,1,1,0.4955674638686215,6.19459329835777e-05,,XGBoost,B,rolling_9m_3m,25pct_spread,10.0
1701,-0.0004098010973936,-0.0981355454962364,0.1860334471532981,-0.5275156000058923,-0.5951106046343121,-0.556841943038129,0.4703115814226925,long_short_decile,6.0,6.0,0.15,50.0,1,1,0.7442680776014109,5.582010582010582e-05,1.984126984126984e-05,OLS,C,expanding,15pct_spread,
1701,0.0,0.0,0.0,,0.0,0.0,0.0,long_flat_hurdle,,,0.15,,1,1,0.0,0.0,,OLS,C,expanding,15pct_spread,10.0
1701,-0.0004470145012737,-0.1065570883689285,0.1860380316330864,-0.5727704568444681,-0.6181150298426082,-0.5840417050194653,0.4691358024691358,long_short_decile,6.0,6.0,0.25,50.0,1,1,0.7442680776014109,9.303350970017635e-05,1.984126984126984e-05,OLS,C,expanding,25pct_spread,
1701,0.0,0.0,0.0,,0.0,0.0,0.0,long_flat_hurdle,,,0.25,,1,1,0.0,0.0,,OLS,C,expanding,25pct_spread,10.0
2016,0.0002121464947089,0.0549097800125566,0.1761913210749213,0.3116486083284857,-0.4021719296917155,0.3548895991983321,0.492063492063492,long_short_decile,6.0,6.0,0.15,50.0,1,1,0.726521164021164,5.4489087301587305e-05,1.984126984126983e-05,OLS,C,rolling_9m_3m,15pct_spread,
2016,5.050140542328002e-05,0.0128073533804009,0.0379253740042178,0.3376988023632044,-0.0596898305713452,0.1008372644869883,0.0168650793650793,long_flat_hurdle,,,0.15,,1,1,0.0176917989417989,1.3268849206349203e-06,,OLS,C,rolling_9m_3m,15pct_spread,10.0
2016,0.0001758204365079,0.0452988814082258,0.1761963592039976,0.2570931749831414,-0.4123670389984135,0.2592098928690267,0.4905753968253968,long_short_decile,6.0,6.0,0.25,50.0,1,1,0.726521164021164,9.08151455026455e-05,1.984126984126983e-05,OLS,C,rolling_9m_3m,25pct_spread,
2016,4.9616815476190075e-05,0.0125816182023186,0.037913958795379,0.3318465969280967,-0.0597852716017223,0.0988795868756282,0.0168650793650793,long_flat_hurdle,,,0.25,,1,1,0.0176917989417989,2.211474867724868e-06,,OLS,C,rolling_9m_3m,25pct_spread,10.0
1701,0.0005082391730354,0.1366027119971657,0.2319842462610657,0.5888447780347918,-0.3211395202522221,0.9794019445975568,0.5179306290417401,long_short_decile,6.0,6.0,0.15,50.0,1,1,0.8316676464824612,6.237507348618461e-05,1.984126984126984e-05,ElasticNet,C,expanding,15pct_spread,
1701,0.0007515918310798,0.2084396728702549,0.271822494639051,0.7668227500709194,-0.4312099829847511,1.7939154111399018,0.2192827748383304,long_flat_hurdle,,,0.15,,1,1,0.2930391462277472,2.1977935967081044e-05,,ElasticNet,C,expanding,15pct_spread,10.0
1701,0.0004666557907113,0.1247601681598544,0.2319656617568748,0.5378389508815172,-0.3224938119312021,0.8443016216387897,0.5149911816578483,long_short_decile,6.0,6.0,0.25,50.0,1,1,0.8316676464824612,0.0001039584558103,1.984126984126984e-05,ElasticNet,C,expanding,25pct_spread,
1701,0.0007369398737684,0.2039892926048958,0.2718163051064103,0.7504674619318307,-0.4321062323734757,1.7251709769178816,0.2192827748383304,long_flat_hurdle,,,0.25,,1,1,0.2930391462277472,3.662989327846841e-05,,ElasticNet,C,expanding,25pct_spread,10.0
2016,0.0005916906415343,0.1607448913379605,0.2120136087336759,0.7581819501968037,-0.2902522374134587,1.752380880895807,0.5277777777777778,long_short_decile,6.0,6.0,0.15,50.0,1,1,0.7944775132275131,5.9585813492063506e-05,1.984126984126983e-05,ElasticNet,C,rolling_9m_3m,15pct_spread,
2016,0.0006705451566043,0.184026302655434,0.2141226183715275,0.8594435471367493,-0.3158529103119985,2.2224803296042266,0.1220238095238095,long_flat_hurdle,,,0.15,,1,1,0.0492185531620055,3.691391487150416e-06,,ElasticNet,C,rolling_9m_3m,15pct_spread,10.0
2016,0.000551966765873,0.1491898904355382,0.2120287980147217,0.7036303173551903,-0.303920460487164,1.5405648948575656,0.5252976190476191,long_short_decile,6.0,6.0,0.25,50.0,1,1,0.7944775132275131,9.930968915343914e-05,1.984126984126983e-05,ElasticNet,C,rolling_9m_3m,25pct_spread,
2016,0.0006680842289462,0.1832927427461423,0.2141215921882253,0.8560217625554428,-0.3173996100429959,2.2065408346212068,0.1220238095238095,long_flat_hurdle,,,0.25,,1,1,0.0492185531620055,6.152319145250694e-06,,ElasticNet,C,rolling_9m_3m,25pct_spread,10.0
1701,0.0005617667058592,0.1520298362389165,0.2376643825367172,0.6396828780830427,-0.3088381643492385,1.14949328050825,0.5232216343327455,long_short_decile,6.0,6.0,0.15,50.0,1,1,1.8155986674505191,0.0001361699000587,1.984126984126984e-05,XGBoost,C,expanding,15pct_spread,
1701,0.0001391582238517,0.0356874743539645,0.3132517168894395,0.113925869930859,-0.6425611076008029,-0.0901397904669807,0.0634920634920634,long_flat_hurdle,,,0.15,,1,1,0.1938770863532709,1.4540781476495314e-05,,XGBoost,C,expanding,15pct_spread,10.0
1701,0.0004709867724867,0.1259878340030629,0.2376663804861022,0.5301037266835061,-0.3180858171436674,0.8420015866683432,0.520870076425632,long_short_decile,6.0,6.0,0.25,50.0,1,1,1.8155986674505191,0.0002269498334313,1.984126984126984e-05,XGBoost,C,expanding,25pct_spread,
