model,oos_r2,rmse,mae,ic,ic_ir,accuracy,precision,recall,f1,auc,long_only_accuracy,n_long_predictions,sharpe_ratio,max_drawdown,total_return,win_rate,win_loss_ratio,n_trades,final_equity,n_periods,feature_set,horizon,beta,t_stat
XGBoost_candidate_6,0.0009161982847361028,0.02873580582846912,0.020222223980688354,0.03497892852535758,0.2099259630463562,0.547339246119734,0.547339246119734,1.0,0.7074586229132335,0.5117018394543722,0.547339246119734,27060.0,2.146570922911274,-0.23736277803007616,264.51078872481884,0.6119733924611973,1.148433159873012,1.0,36451.078872481885,451.0,candidate_6,3,,
FFNN_candidate_6,-0.0026234364772976804,0.028786664588223522,0.02026680279439579,0.04705025023732866,0.46201859298787795,0.5457132298595713,0.5468517415897589,0.9921679832556883,0.7050836072259674,0.5095229609794985,0.5468517415897589,26872.0,2.1228624022539333,-0.2396539662600425,258.2455376749798,0.6119733924611973,1.1418335238013793,363.0,35824.55376749798,451.0,candidate_6,3,,
TabNet_candidate_6,-0.020828027167771213,0.029046828072901282,0.02047756190967814,0.0015837060630851936,0.04632219858631167,0.547339246119734,0.547339246119734,1.0,0.7074586229132335,0.5066480537180647,0.547339246119734,27060.0,2.146570922911274,-0.23736277803007616,264.51078872481884,0.6119733924611973,1.148433159873012,1.0,36451.078872481885,451.0,candidate_6,3,,
TFT_candidate_6,-0.008914408198099188,0.029045400702560075,0.020442700259383634,0.007431549688099836,0.06277586182150229,0.5009280742459397,0.5389777270131354,0.5393627661094442,0.5391701778190388,,0.5389777270131354,14008.0,2.050271685249717,-0.22271932669573657,290.1600891306755,0.6148491879350348,1.1033064962598689,3120.0,39016.00891306755,431.0,candidate_6,3,,
XGBoost_D,0.0011542756960429834,0.028732381814454384,0.020234692271148012,0.04740505607775994,0.2704561654416328,0.547339246119734,0.547339246119734,1.0,0.7074586229132335,0.4922415446297775,0.547339246119734,27060.0,2.146570922911274,-0.23736277803007616,264.51078872481884,0.6119733924611973,1.148433159873012,1.0,36451.078872481885,451.0,D,3,,
FFNN_D,-0.003642872455438928,0.028801295557703638,0.02028206728919753,0.0398695405705768,0.23936852650215487,0.544050258684405,0.5480548754420738,0.9521301735196813,0.6956736224162596,0.5139088928918667,0.5480548754420738,25731.0,2.1193243991254658,-0.24831511026900402,260.0203604728006,0.6208425720620843,1.0950072271795939,1267.0,36002.03604728005,451.0,D,3,,
TabNet_D,-0.0028026327129322404,0.0287892369555122,0.02028329501748171,0.01892235471503749,0.06684117650971771,0.545639320029564,0.5473822975517891,0.9812301667679427,0.7027392954715795,0.5009285170137776,0.5473822975517891,26550.0,2.1312507928187205,-0.24631448193364547,262.70971613104456,0.614190687361419,1.133200276533494,169.0,36270.971613104455,451.0,D,3,,
TFT_D,-0.016072622130976377,0.029148256657688068,0.020595214286249785,0.05012422985075512,0.24304537425280284,0.499922660479505,0.5555324025838716,0.3809115587941134,0.45194100695033057,,0.5555324025838716,9598.0,1.5933764062295392,-0.2786580419696208,504.42367979552836,0.5539568345323741,1.3948977653725876,3538.0,60442.36797955284,431.0,D,3,,
SetTrans_contracts_AAPL,-0.1284500360488891,0.0250587780028581,0.0191310197114944,-0.0193197332661725,-0.091414162654775,0.4666666666666667,0.5646551724137931,0.4851851851851851,0.5219123505976095,,0.5646551724137931,232.0,1.006886703140459,-0.3860991022460978,58.07740030434194,0.5646551724137931,0.9759344592956952,103.0,15807.740030434194,,R3_contract_AAPL,3,,
SetTrans_chains_AAPL,-0.1106302738189697,0.0248601343482732,0.0188206862658262,-0.0113499819752196,-0.1866456168706377,0.5333333333333333,0.5955414012738853,0.6925925925925925,0.6404109589041096,,0.5955414012738853,314.0,1.546958002735719,-0.385045168456987,125.3458889068721,0.5923566878980892,0.9395879260170944,71.0,22534.58889068721,,R3_chain_AAPL,3,,
SetTrans_contracts_NVDA,-0.1122829914093017,0.0564027018845081,0.0424971617758274,0.0640714933571688,-0.1407508088030588,0.5533333333333333,0.6126984126984127,0.7095588235294118,0.6575809199318569,,0.6126984126984127,315.0,3.508907904522676,-0.3811718582619065,5558.360619730061,0.6126984126984127,1.3273378052908484,80.0,565836.0619730061,,R3_contract_NVDA,3,,
SetTrans_chains_NVDA,-0.6485730409622192,0.0686667263507843,0.0513964593410491,-0.072986895408537,-0.3570880071282981,0.4155555555555555,0.5384615384615384,0.2316176470588235,0.3239074550128534,,0.5384615384615384,117.0,0.6522257108188383,-0.5577315992707476,39.24854437488761,0.5384615384615384,1.0617324220023916,63.0,13924.85443748876,,R3_chain_NVDA,3,,
SetTrans_contracts_SPY,-0.4310065507888794,0.0163487866520881,0.0129286712035536,-0.0514842794445643,-0.2786973282342029,0.4279379157427938,0.5949367088607594,0.1721611721611721,0.2670454545454545,,0.5949367088607594,79.0,1.747745764939055,-0.0894602499261204,30.55366541640057,0.5949367088607594,1.4522003131538062,76.0,13055.366541640056,,R3_contract_SPY,3,,
SetTrans_chains_SPY,-2.147146463394165,0.0242450535297393,0.0207812394946813,-0.0534311838468164,-0.5523105331295773,0.3991130820399113,0.5833333333333334,0.0256410256410256,0.0491228070175438,,0.5833333333333334,12.0,0.7871446043553215,-0.0231512210327239,4.8398978911604384,0.5833333333333334,1.828349975470876,10.0,10483.989789116044,,R3_chain_SPY,3,,
