model,feature_set,scheme,horizon,n_windows,mean_ic,nw_se,nw_tstat,survives_5pct,survives_hlz_t3
FFNN,C,rolling_9m_3m,5,32,-0.0005906680898106623,0.006401407192395747,-0.09227160092429659,False,False
FFNN,D,expanding,3,27,-0.0008759882948731,0.008372504640803894,-0.10462679119984233,False,False
OLS,A,expanding,3,27,-0.0012656192157962179,0.010223627322781892,-0.12379355935402363,False,False
OLS,repr_svi,expanding,3,27,-0.0012665309957006615,0.01022404007890073,-0.12387774166832459,False,False
OLS,repr_grid,expanding,3,27,-0.0012704268214110816,0.010229428253510798,-0.12419333612072248,False,False
OLS,D,expanding,3,27,-0.001271429297306252,0.010229224080530366,-0.12429381615817833,False,False
OLS,repr_grid_raw,expanding,3,27,-0.0012722950146563936,0.010228526858216926,-0.12438692612263275,False,False
OLS,B,expanding,5,27,-0.0008725533052554255,0.0054178993190679625,-0.16105011442064418,False,False
OLS,C,expanding,5,27,-0.0008725533052554255,0.0054178993190679625,-0.16105011442064418,False,False
OLS,repr_bkm,expanding,3,27,-0.0016479917312370842,0.010172148113857695,-0.162010198120493,False,False
ElasticNet,A,rolling_9m_3m,3,32,-0.0010992239132814074,0.00633996882884364,-0.17338001857051671,False,False
OLS,A,expanding,5,27,-0.004077709724968389,0.013066234926111902,-0.31207993335703677,False,False
OLS,repr_svi,expanding,5,27,-0.004080294216448143,0.013066225245041365,-0.31227796398172575,False,False
OLS,repr_grid_raw,expanding,5,27,-0.0040921152542572415,0.013071449028786944,-0.31305750764473567,False,False
OLS,repr_grid,expanding,5,27,-0.004093996258516508,0.013071155735077873,-0.3132084370726165,False,False
OLS,D,expanding,5,27,-0.004094672583211795,0.013071284411828095,-0.3132570950339479,False,False
OLS,repr_bkm,expanding,5,27,-0.0042990919406537325,0.012919004006036454,-0.3327727074505872,False,False
XGBoost,D,rolling_9m_3m,5,32,-0.002510512398478021,0.006482948334214637,-0.3872485586887145,False,False
TFT,B,rolling_9m_3m,1,32,-0.0023406936424820784,0.005619813396078688,-0.41650736021152124,False,False
FFNN,C,rolling_9m_3m,1,32,-0.001575954660740322,0.0037556038140665127,-0.4196275056590438,False,False
FFNN,C,expanding,5,27,-0.0022119067746309926,0.004924940531951242,-0.4491235498745492,False,False
OLS,A,expanding,1,27,-0.0033155883080049,0.007307924198991041,-0.45369768729438414,False,False
OLS,repr_svi,expanding,1,27,-0.0033161643857618967,0.007307963908277308,-0.45377405080036987,False,False
OLS,repr_grid_raw,expanding,1,27,-0.0033331404543422813,0.007311062063649417,-0.45590372853140554,False,False
OLS,repr_grid,expanding,1,27,-0.0033353357639065748,0.007310216348356091,-0.4562567788649127,False,False
OLS,D,expanding,1,27,-0.0033366862829766067,0.007310213362191287,-0.4564417093807522,False,False
OLS,repr_bkm,expanding,1,27,-0.0034038982799297927,0.007294959675732276,-0.46660960872112095,False,False
XGBoost,repr_bkm,expanding,5,27,-0.004032605966291148,0.00836432196116699,-0.48211988790165106,False,False
XGBoost,repr_svi,expanding,5,27,-0.004858365458371565,0.009293317302881543,-0.522780542192953,False,False
FFNN,B,expanding,5,27,-0.0024686971121222778,0.004601523656828219,-0.5364955819490287,False,False
FFNN,D,expanding,1,26,-0.003035188231593179,0.005458063796342938,-0.5560924798326549,False,False
FFNN,D,rolling_9m_3m,3,32,-0.004929637545997347,0.00806520996425757,-0.6112224688314283,False,False
OLS,C,expanding,1,27,-0.0024937684683314027,0.004045390899107056,-0.6164468479132277,False,False
OLS,B,expanding,1,27,-0.0024937684683314027,0.004045390899107056,-0.6164468479132277,False,False
FFNN,A,rolling_9m_3m,5,32,-0.006419210446466159,0.009924694227531934,-0.6467917599575744,False,False
FFNN,B,rolling_9m_3m,5,32,-0.003422220723991803,0.005285362219214451,-0.647490291498023,False,False
FFNN,C,expanding,1,26,-0.0032032201129823914,0.003933364092466466,-0.8143716263433349,False,False
FFNN,candidate_6,rolling_9m_3m,1,32,-0.0020776581437963845,0.0024206874173686136,-0.8582926192324675,False,False
XGBoost,repr_bkm,rolling_9m_3m,1,32,-0.003359250066177071,0.0033486814450011215,-1.0031560545096716,False,False
TFT,C,expanding,1,27,-0.006262152592322778,0.005174595646445591,-1.2101723535875166,False,False
TFT,A,expanding,1,27,-0.008385573418395709,0.006743503566687447,-1.2435039642923897,False,False
FFNN,A,expanding,1,26,-0.008181814189764002,0.006022220922950179,-1.3586041253624215,False,False
TFT,C,rolling_9m_3m,1,32,-0.008467373212893975,0.004165805552038791,-2.0325896413359836,True,False
