model,feature_set,scheme,horizon,window,ic,n_test
XGBoost,A,rolling_9m_3m,1,26,0.25029201281657315,3780
XGBoost,A,rolling_9m_3m,1,27,0.22919418328020083,3780
XGBoost,A,rolling_9m_3m,1,28,0.2324127668624009,3780
XGBoost,A,rolling_9m_3m,1,29,0.24076192399845894,3780
XGBoost,A,rolling_9m_3m,1,30,0.2653474777519166,3780
XGBoost,A,rolling_9m_3m,1,31,0.24941797968456875,3780
OLS,B,expanding,1,0,0.022743399183416314,3717
OLS,B,expanding,1,1,0.024827037377628203,3717
OLS,B,expanding,1,2,0.08674542108180204,3717
OLS,B,expanding,1,3,0.13917066864688862,3717
OLS,B,expanding,1,4,0.07461263293055725,3717
OLS,B,expanding,1,5,0.09861204858849094,3717
OLS,B,expanding,1,6,0.11378598548343818,3717
OLS,B,expanding,1,7,0.07524594977989746,3717
OLS,B,expanding,1,8,0.005951002941347161,3717
OLS,B,expanding,1,9,0.1153640479682614,3717
OLS,B,expanding,1,10,0.018667341440408044,3717
OLS,B,expanding,1,11,-0.014923310945605108,3717
OLS,B,expanding,1,12,0.0038099245926604282,3717
OLS,B,expanding,1,13,0.04113956775357216,3726
OLS,B,expanding,1,14,0.03954792942888742,3780
OLS,B,expanding,1,15,0.018157178307926358,3780
OLS,B,expanding,1,16,0.10690369778202935,3730
OLS,B,expanding,1,17,0.18871200505271019,3740
OLS,B,expanding,1,18,0.09322291981348338,3780
OLS,B,expanding,1,19,0.19295311049737307,3780
OLS,B,expanding,1,20,0.0026894316868118595,3780
OLS,B,expanding,1,21,0.004831578113709885,3780
OLS,B,expanding,1,22,-0.01277017524116566,3780
OLS,B,expanding,1,23,-0.0006787497761895606,3780
OLS,B,expanding,1,24,0.03560839967691724,3780
OLS,B,expanding,1,25,3.551510343228199e-05,3780
OLS,B,expanding,1,26,0.008730453176278546,3780
OLS,B,rolling_9m_3m,1,0,0.03293346164352119,3717
OLS,B,rolling_9m_3m,1,1,0.09618999741162776,3717
OLS,B,rolling_9m_3m,1,2,0.05122795906924917,3717
OLS,B,rolling_9m_3m,1,3,0.02562971778338505,3717
OLS,B,rolling_9m_3m,1,4,0.0645587271032813,3717
OLS,B,rolling_9m_3m,1,5,0.022743399183416314,3717
OLS,B,rolling_9m_3m,1,6,0.024827037377628203,3717
