model,oos_r2,rmse,mae,ic,ic_ir,accuracy,precision,recall,f1,long_only_accuracy,n_long_predictions,sharpe_ratio,max_drawdown,total_return,win_rate,win_loss_ratio,n_trades,final_equity,n_periods,window,train_start,train_end,test_start,test_end,n_train,n_test,feature_set
window_1,-0.6589624760771047,0.03083603859911529,0.024185534105947887,0.04890043700934479,0.5663698806660639,0.4796879203658865,0.7,0.09902439024390244,0.1735042735042735,0.7,290,2.1398957088342745,-0.12471202979438206,15.612333124931244,0.56,1.3635187997682312,250,11561.233312493125,63,1,2016-01-04,2018-04-04,2018-04-05,2018-07-03,33453,3717,C
window_2,-0.042303247374259056,0.024750156815679145,0.016625283793125705,-0.012344106899199177,0.35551051865007777,0.5531342480495023,0.5762070971495056,0.9066361556064073,0.7046060821625467,0.5762070971495056,3438,5.108451468814769,-0.03584092399657657,17.42471615312853,0.5873015873015873,1.5136540502755427,147,11742.471615312852,63,2,2016-01-04,2018-07-03,2018-07-05,2018-10-02,37170,3717,C
window_3,-0.07729013010378782,0.043088080472110366,0.03134503737308886,0.08215856504053826,0.8684648368906424,0.46354587032553135,0.4726784114661093,0.8741027056874655,0.6135658914728682,0.4726784114661093,3349,-1.9761509239846804,-0.35187828025256235,-22.28504581100911,0.4603174603174603,0.8733228200310238,363,7771.49541889909,63,3,2016-01-04,2018-10-02,2018-10-03,2019-01-03,40887,3717,C
window_4,-0.6024084686822617,0.03186433415168565,0.024183866641438286,0.018706038883658807,0.11032412098075235,0.384180790960452,0.5945945945945946,0.12903225806451613,0.21204819277108433,0.5945945945945946,518,3.079388032415152,-0.039280191584913506,14.429073408814318,0.5,3.596463580535706,500,11442.907340881431,63,4,2016-01-04,2019-01-03,2019-01-04,2019-04-04,44604,3717,C
window_5,-0.0812261354220547,0.026098340990702528,0.019234047392171057,-0.050424789533562706,-0.24961814545783756,0.4745762711864407,0.5236239649293717,0.524390243902439,0.5240068242749207,0.5236239649293717,2053,2.5048032864794374,-0.10571551400611746,15.931291042630757,0.5,1.7728924411356888,561,11593.129104263076,63,5,2016-01-04,2019-04-04,2019-04-05,2019-07-05,48321,3717,C
window_6,-0.023838955806546824,0.027402282641284928,0.019769080122454073,0.007354929706405898,0.22425793119151916,0.4963680387409201,0.5030883261272391,0.8609936575052854,0.6350877192982456,0.5030883261272391,3238,0.33408870253230105,-0.18812026246904864,1.4161484083893061,0.5079365079365079,1.0380947731249415,497,10141.61484083893,63,6,2016-01-04,2019-07-05,2019-07-08,2019-10-03,52038,3717,C
window_7,-0.07017436171325753,0.022999732585816567,0.01594718385671245,0.1020076110430443,0.6430815525264965,0.4587032553134248,0.6857476635514018,0.251931330472103,0.3684871311989956,0.6857476635514018,856,5.659030270429359,-0.21602795492680416,70.09307513109222,0.7301587301587301,1.0873257712164726,734,17009.307513109223,63,7,2016-01-04,2019-10-03,2019-10-04,2020-01-03,55755,3717,C
window_8,-0.01626690884614712,0.07369139498379326,0.0481555993276012,0.025064701613509082,0.4542697408373159,0.4850686037126715,0.48392554991539766,0.9533333333333334,0.6419753086419753,0.48392554991539766,3546,-1.5870641693002132,-0.6848100409862201,-36.373580052353674,0.5555555555555556,0.5956416901793337,287,6362.641994764633,63,8,2016-01-04,2020-01-03,2020-01-06,2020-04-03,59472,3717,C
window_9,-0.06051499210125599,0.04639495559495511,0.033612764830644265,0.043584118860486125,0.45246191146167614,0.5961797148237826,0.5949617888480045,0.9677716390423573,0.736897458369851,0.5949617888480045,3533,4.636963572634891,-0.18286981766685173,66.70611423301733,0.6825396825396826,0.9772297424287102,289,16670.611423301732,63,9,2016-01-04,2020-04-03,2020-04-06,2020-07-06,63189,3717,C
window_10,-0.01534867931260342,0.0340033692147485,0.023408082352063785,0.0596139662710082,0.5269725283015624,0.5466774280333603,0.5817587209302325,0.7498829039812647,0.6552076938817271,0.5817587209302325,2752,4.1597661446995735,-0.1746439603350832,30.41651775476881,0.6507936507936508,1.0502345426721504,965,13041.651775476881,63,10,2016-01-04,2020-07-06,2020-07-07,2020-10-02,66906,3717,C
window_11,0.011533435218341048,0.03601928607363233,0.0252339092595892,0.04547326101054536,0.19164409349051162,0.5348399246704332,0.5555917835017933,0.8231884057971014,0.663422230874051,0.5555917835017933,3067,4.4968522685437895,-0.22465042733879673,46.376647098609865,0.6290322580645161,1.3369847264731392,672,14637.664709860986,63,11,2016-01-04,2020-10-02,2020-10-05,2021-01-04,70623,3717,C
window_12,-0.021554852342186015,0.031914527729472654,0.023858819969874205,-0.0065848056307480085,-0.1354703057753634,0.5606672047350013,0.5671007927519819,0.950640721404841,0.7104096471005498,0.5671007927519819,3532,5.466929149040582,-0.07923580121187358,35.648543549994,0.6666666666666666,1.1777453225281753,167,13564.854354999401,63,12,2016-01-04,2021-01-04,2021-01-05,2021-04-06,74340,3717,C
window_13,-0.005503259326417931,0.023854975211769016,0.01744052264972264,-0.007539711109815051,0.04291018724887523,0.5587761674718197,0.5663821018545776,0.9183770883054893,0.7006554989075018,0.5663821018545776,3397,4.365929306601319,-0.06038344171948621,19.842752714756926,0.7142857142857143,0.7948369850902036,227,11984.275271475693,63,13,2016-01-04,2021-04-06,2021-04-07,2021-07-13,78057,3726,C
window_14,-0.007194062177831029,0.024465227881653253,0.01814069311191276,-0.034585207491058256,-0.41925234878670026,0.4981481481481482,0.5083265083265083,0.95097037793667,0.6625155666251556,0.5083265083265083,3663,1.4836803469771416,-0.10041345518912655,6.8807700926041715,0.6190476190476191,0.7791671475809575,105,10688.077009260418,63,14,2016-01-04,2021-07-13,2021-07-14,2021-10-11,81783,3780,C
window_15,-0.009999549273263186,0.030876806459921816,0.02228731291462819,-0.07254642260171015,-0.6298145619486479,0.555026455026455,0.5617734522844012,0.9714820009350164,0.7118876327509421,0.5617734522844012,3699,4.643242773279947,-0.11153488677825389,26.471820790468904,0.5714285714285714,1.569652925799759,129,12647.18207904689,63,15,2016-01-04,2021-10-11,2021-10-12,2022-01-10,85563,3780,C
window_16,-0.0009996940547771782,0.03870448120300051,0.02881083756813465,0.11678498551363337,1.151327079588927,0.4833780160857909,0.4840195016251354,0.9878385848535103,0.649700054535539,0.4840195016251354,3692,-1.3927478510492455,-0.23302987758570815,-12.47781980655256,0.4126984126984127,1.1453668059159843,77,8752.218019344744,63,16,2016-01-04,2022-01-10,2022-01-11,2022-04-11,89343,3730,C
window_17,-0.015620108624852636,0.04358225211104321,0.03157193488908696,0.10719332888090843,1.2010727198160107,0.4553475935828877,0.4593609865470852,0.9381797366914711,0.6167450611476952,0.4593609865470852,3568,-2.754403390675212,-0.3772243150887309,-29.11980978376767,0.49206349206349204,0.6556300961422029,182,7088.019021623233,63,17,2016-01-04,2022-04-11,2022-04-12,2022-07-13,93073,3740,C
