pooled_r2,pooled_rmse,pooled_accuracy,pooled_ic,model,feature_set,scheme,horizon,n_windows
-0.0099402863839999,0.0341593799761598,0.4997075583629953,0.0022495136891186,ElasticNet,repr_svi,rolling_9m_3m,5,32
-0.0007120890124785,0.0350343150491888,0.5063157165890184,-0.0048902624308151,XGBoost,repr_svi,expanding,5,27
-0.0045103171177087,0.0340674268311198,0.5025149980782406,0.0051843792304008,XGBoost,repr_svi,rolling_9m_3m,5,32
-0.0010619033528469,0.0350404379066548,0.5045451398162161,-0.0060601491907014,OLS,repr_grid,expanding,5,27
-0.0045579851846051,0.0340682351399487,0.5035928543974867,0.0075455057001495,OLS,repr_grid,rolling_9m_3m,5,32
-0.0009899360909826,0.0350391783393459,0.5089864189837483,0.0162448161105195,ElasticNet,repr_grid,expanding,5,27
-0.0041643950453089,0.0340615604455619,0.5030163265988202,0.0115762749598758,ElasticNet,repr_grid,rolling_9m_3m,5,32
-0.0025422165249224,0.0350663362351586,0.5123693086837394,0.0150146642259303,XGBoost,repr_grid,expanding,5,27
-0.0059721672908983,0.0340922067498948,0.5082134322621614,0.0033075916019099,XGBoost,repr_grid,rolling_9m_3m,5,32
-0.0010615760839971,0.0350404321789147,0.5045055738548127,-0.0060735755719875,OLS,repr_grid_raw,expanding,5,27
-0.0041453341820116,0.0340612371688994,0.5020888688357481,0.0033029301600641,OLS,repr_grid_raw,rolling_9m_3m,5,32
-0.0019768763659511,0.0350564477719389,0.5089171785512924,0.0179208440698393,ElasticNet,repr_grid_raw,expanding,5,27
-0.0111668416559398,0.0341801166744905,0.5003425744890627,0.0024144435294413,ElasticNet,repr_grid_raw,rolling_9m_3m,5,32
-0.0019666626904004,0.035056269097109,0.5112515702740932,0.014353235175706,XGBoost,repr_grid_raw,expanding,5,27
-0.0051394614440571,0.0340780937067914,0.5056566568072057,0.0014643654907209,XGBoost,repr_grid_raw,rolling_9m_3m,5,32
-0.001060445440701,0.0350404123908009,0.5043176355381466,-0.0068805680579767,OLS,repr_bkm,expanding,5,27
-0.0062022810430741,0.0340961057827336,0.5038852960344914,0.0034327197546661,OLS,repr_bkm,rolling_9m_3m,5,32
-0.0014343319569696,0.0350469554096156,0.5106481893626913,0.0101433439740358,ElasticNet,repr_bkm,expanding,5,27
-0.0021851476259169,0.0340279755521193,0.5013870089069368,0.0075359081856565,ElasticNet,repr_bkm,rolling_9m_3m,5,32
-0.0001161680543388,0.0350238820825564,0.5063058250986676,-0.0050096400754377,XGBoost,repr_bkm,expanding,5,27
-0.0048219714075563,0.0340727112150372,0.5042863588509551,0.00472040050173,XGBoost,repr_bkm,rolling_9m_3m,5,32
-0.0002031185649715,0.0158588094838988,0.503758471965496,0.0059711670578566,FFNN,A,expanding,1,26
-0.0089497899283659,0.0152521726069938,0.504353202653699,0.0100538314333671,FFNN,A,rolling_9m_3m,1,32
-0.0001064092689648,0.015858042773944,0.500369685767098,0.0005778022925531,FFNN,B,expanding,1,26
-0.0114620663813185,0.015271149691611,0.5018632710014873,0.005780745304693,FFNN,B,rolling_9m_3m,1,32
-5.044947911314601e-05,0.0158575991085766,0.4999486547545697,0.0017879586352346,FFNN,C,expanding,1,26
-0.0054678836031996,0.0152258320823932,0.4973346033655855,-0.0048844641629546,FFNN,C,rolling_9m_3m,1,32
-7.608122043256671e-05,0.0158578023259614,0.4982234545081125,-0.0011424859419494,FFNN,candidate_6,expanding,1,26
-0.0087286130071497,0.0152505007629092,0.4990307648602129,-0.0001629710539325,FFNN,candidate_6,rolling_9m_3m,1,32
-0.0003904925521567,0.0158602948767927,0.5042000410761963,0.0006223609886648,FFNN,D,expanding,1,26
-0.0229915000117195,0.0153579393067607,0.5011196336959609,0.0011862889017191,FFNN,D,rolling_9m_3m,1,32
-0.0004925504784849,0.027237971740472,0.5023096629969237,0.0033248235869709,FFNN,A,expanding,3,27
-0.0108933506611352,0.0265169213247875,0.5076870373155529,0.015580801194166,FFNN,A,rolling_9m_3m,3,32
-0.0003535387927402,0.0272360794085907,0.5031009822249919,0.0020818054219555,FFNN,B,expanding,3,27
-0.0049358522512097,0.0264386697700032,0.497835931886165,-0.0048012150386955,FFNN,B,rolling_9m_3m,3,32
2.749694525272517e-05,0.0272308917885926,0.4968990177750081,0.0027247265454541,FFNN,C,expanding,3,27
-0.0083146276142758,0.0264830782591874,0.4994736050533915,0.0026505656810645,FFNN,C,rolling_9m_3m,3,32
-0.0003120445483064,0.0272355145321684,0.5006577841083316,-0.0001788250478744,FFNN,candidate_6,expanding,3,27
-0.0026816829511742,0.0264090008634068,0.501161411072676,0.003896153883448,FFNN,candidate_6,rolling_9m_3m,3,32
-0.000518356850661,0.0272383230218,0.5049309079398993,-6.186998806540272e-05,FFNN,D,expanding,3,27
-0.0113858701857694,0.0265233802213192,0.501086211794589,0.002607996525794,FFNN,D,rolling_9m_3m,3,32
-0.0003117513641444,0.0350273065606969,0.5010039862706114,-0.003711695866818,FFNN,A,expanding,5,27
-0.0159064900486534,0.0342601293559207,0.5047542654701626,0.0038128881670189,FFNN,A,rolling_9m_3m,5,32
-0.0003761457788873,0.0350284339725283,0.4981156710881628,0.0018299986623178,FFNN,B,expanding,5,27
