delta,seed,model,oracle_ic,recovered_ic,nw_se,nw_t,n_windows,survives_t3
0.019,1,OLS,0.02251268692841501,-0.0007461046744568232,0.010448536291233329,-0.07140757840721002,27,False
0.019,1,ElasticNet,0.02251268692841501,0.015421249979353544,0.008636530562217989,1.7855839064376724,27,False
0.019,1,XGBoost,0.02251268692841501,0.020552843083707632,0.0053145148907743165,3.8673036967844707,27,True
0.019,2,OLS,0.02354253452874262,-0.0008516196592349071,0.010415745640638787,-0.08176271662320261,27,False
0.019,2,ElasticNet,0.02354253452874262,0.026284803599409743,0.00806312353624545,3.259878567065726,27,True
0.019,2,XGBoost,0.02354253452874262,0.014046974906944058,0.006102622497381799,2.301793190217913,27,False
0.03,0,OLS,0.03724049716723257,0.0006476563007245536,0.01099819791150014,0.05888749283619812,27,False
0.03,0,ElasticNet,0.03724049716723257,0.03771966759804468,0.007891889602970463,4.779548307904258,27,True
0.03,0,XGBoost,0.03724049716723257,0.02689776635312795,0.004859874152846464,5.534663142948616,27,True
0.03,1,OLS,0.03594315938721122,-0.0001511722878886169,0.010716671976799553,-0.014106271817956983,27,False
0.03,1,ElasticNet,0.03594315938721122,0.0365251641542137,0.007679331751014398,4.75629460198655,27,True
0.03,1,XGBoost,0.03594315938721122,0.026704033766077977,0.005357059717328327,4.984830331403477,27,True
0.03,2,OLS,0.03694301745062306,-0.0003785490472918763,0.010644000595628133,-0.03556454585763174,27,False
0.03,2,ElasticNet,0.03694301745062306,0.03780518719785331,0.0067368161290765225,5.611729112612075,27,True
0.03,2,XGBoost,0.03694301745062306,0.024902365543392948,0.00557189312010777,4.469282702772176,27,True
0.05,0,OLS,0.06169464148777018,0.0023022032339741105,0.011820356728264439,0.19476596915803393,27,False
0.05,0,ElasticNet,0.06169464148777018,0.06182746613703918,0.007187643033556209,8.601911064363055,27,True
0.05,0,XGBoost,0.06169464148777018,0.04913888101285827,0.00554268359135385,8.86553962587925,27,True
0.05,1,OLS,0.06029588291536991,0.001031196093243474,0.011308466297619363,0.09118797068534037,27,False
0.05,1,ElasticNet,0.06029588291536991,0.059640017590718936,0.0067523465993157535,8.832487597239533,27,True
0.05,1,XGBoost,0.06029588291536991,0.051601076238959875,0.005389078895316262,9.575119837975878,27,True
0.05,2,OLS,0.06127800007871162,0.0005505213487549961,0.011157617961165933,0.04934040138953355,27,False
0.05,2,ElasticNet,0.06127800007871162,0.06091954391393039,0.005666182543925316,10.751426280687323,27,True
0.05,2,XGBoost,0.06127800007871162,0.04817749844672185,0.0063977461299617585,7.530386087234416,27,True
0.08,0,OLS,0.09817925234851296,0.004422729999922655,0.013043251685504487,0.3390818567763912,27,False
0.08,0,ElasticNet,0.09817925234851296,0.09751819792436581,0.007783453548426029,12.528911146914464,27,True
0.08,0,XGBoost,0.09817925234851296,0.08402664911426293,0.008084234772818076,10.393890266124984,27,True
0.08,1,OLS,0.09656639411552129,0.002833820325696434,0.012307842962027327,0.2302450831099694,27,False
0.08,1,ElasticNet,0.09656639411552129,0.09492327126638814,0.006856742005420071,13.843786333415174,27,True
0.08,1,XGBoost,0.09656639411552129,0.08197876533602343,0.009709862227737457,8.442835069465831,27,True
0.08,2,OLS,0.0975376376892242,0.001900598478973864,0.012051291258900192,0.15770911499381632,27,False
0.08,2,ElasticNet,0.0975376376892242,0.09600852955230334,0.00608029864390942,15.79010097612133,27,True
0.08,2,XGBoost,0.0975376376892242,0.08291441960138067,0.008274466907672447,10.020514980185467,27,True
