model,feature_set,scheme,horizon,n_windows,pooled_ic,pooled_r2
ElasticNet,repr_grid,expanding,1,27,0.284189724700979,0.12483283758153252
ElasticNet,repr_grid,rolling_9m_3m,1,32,0.24482892799409917,0.09661652222014483
XGBoost,repr_grid,expanding,1,27,0.26501587515510583,0.13409915130663386
XGBoost,repr_grid,rolling_9m_3m,1,32,0.25192457589088624,0.1293456256238652
OLS,repr_grid_raw,expanding,1,27,0.12887490165903687,0.03198592788884391
OLS,repr_grid_raw,rolling_9m_3m,1,32,0.15030503633763023,0.0373556173605315
ElasticNet,repr_grid_raw,expanding,1,27,0.29149590209498144,0.13161373969209
ElasticNet,repr_grid_raw,rolling_9m_3m,1,32,0.2466447452399824,0.09866516179236362
XGBoost,repr_grid_raw,expanding,1,27,0.27141745725970207,0.13642242254093584
XGBoost,repr_grid_raw,rolling_9m_3m,1,32,0.24788006265460338,0.12748745597669797
OLS,repr_bkm,expanding,1,27,0.14418707224778748,0.03622281943428374
OLS,repr_bkm,rolling_9m_3m,1,32,0.16826135404913017,0.03396518169521989
ElasticNet,repr_bkm,expanding,1,27,0.26110176761627646,0.10240483478356022
ElasticNet,repr_bkm,rolling_9m_3m,1,32,0.21144897799895213,0.05703660667476196
XGBoost,repr_bkm,expanding,1,27,0.24212950443853362,0.11245144277378527
XGBoost,repr_bkm,rolling_9m_3m,1,32,0.22220595828395007,0.09479486774889634
OLS,A,expanding,3,27,0.2222504985300463,0.07494832361642689
OLS,A,rolling_9m_3m,3,32,0.2098783170990714,0.06280230914880791
ElasticNet,A,expanding,3,27,0.43413158670819524,0.22450043435242817
ElasticNet,A,rolling_9m_3m,3,32,0.3517531031819184,0.1031187041692464
XGBoost,A,expanding,3,27,0.3909661745410341,0.18164051099843004
XGBoost,A,rolling_9m_3m,3,32,0.36572475435503954,0.18447551946267093
OLS,B,expanding,3,27,0.06578784241355488,-0.00022207084898639984
OLS,B,rolling_9m_3m,3,32,0.018545934444051494,-5.8040148781746126e-05
ElasticNet,B,expanding,3,27,0.3877134976113433,0.17818794321638876
ElasticNet,B,rolling_9m_3m,3,32,0.3749072816588028,0.18821681750143426
XGBoost,B,expanding,3,27,0.40335899736135056,0.23509713673724997
XGBoost,B,rolling_9m_3m,3,32,0.39574549228821404,0.2486274988920515
OLS,C,expanding,3,27,0.0657878389031714,-0.00022207083093594981
OLS,C,rolling_9m_3m,3,32,0.018545937126640665,-5.804015783561489e-05
