feature_set,scheme,horizon,N,n_draws,se_mean,se_median,se_p05,se_p95,se_pred_sqrtN,ic_mean,ic_sd_across_draws,se_full_ref,n_full,mean_ic_full,t_full,recon_max_abs_err
D,rolling_9m_3m,5,40,40,0.007911748086200456,0.008054687314495193,0.006205278353016795,0.009237650038378523,0.007980259893391045,-0.0012691784561588346,0.0031855722854132866,0.0065158549178684485,60,-0.0026557469160067553,-0.40758226656089175,
D,rolling_9m_3m,5,50,40,0.007161619227391576,0.007188976771266446,0.006058815856121892,0.008195808810529748,0.007137761439895041,-0.0034553385108900833,0.0029175062150142523,0.0065158549178684485,60,-0.0026557469160067553,-0.40758226656089175,
D,rolling_9m_3m,5,60,1,0.0065158549178684485,0.0065158549178684485,0.0065158549178684485,0.0065158549178684485,0.0065158549178684485,-0.0026557469160067553,,0.0065158549178684485,60,-0.0026557469160067553,-0.40758226656089175,
repr_grid,expanding,1,20,40,0.0076860280285790785,0.0075370045887773445,0.004958280669532048,0.010972672379571526,0.010714566094028254,0.013704024665377512,0.0051746971330039575,0.00618605761863725,60,0.01216573549960337,1.9666379218568297,
repr_grid,expanding,1,30,40,0.006669681392079923,0.006748480561756712,0.005071461432907187,0.008585849727745207,0.00874840658189821,0.014341940311512046,0.0030948501386771575,0.00618605761863725,60,0.01216573549960337,1.9666379218568297,
repr_grid,expanding,1,40,40,0.0066980674083804955,0.006705098428603324,0.005132740493488485,0.00808754661543729,0.007576342342558838,0.012894488276781219,0.002624270370506391,0.00618605761863725,60,0.01216573549960337,1.9666379218568297,
repr_grid,expanding,1,50,40,0.006185581938972387,0.0062226046571516695,0.005019273905255423,0.007262608020747285,0.006776486599508623,0.011877915743679093,0.0018084739425747879,0.00618605761863725,60,0.01216573549960337,1.9666379218568297,
repr_grid,expanding,1,60,1,0.00618605761863725,0.00618605761863725,0.00618605761863725,0.00618605761863725,0.00618605761863725,0.01216573549960337,,0.00618605761863725,60,0.01216573549960337,1.9666379218568297,
repr_grid,expanding,3,20,40,0.012142722176679456,0.012423416390267318,0.008403996217692299,0.015254134931797815,0.016641740782701676,0.00800022944730965,0.006840353816252942,0.009608113520676786,60,0.012418251701131089,1.2924755389709799,
repr_grid,expanding,3,30,40,0.010664785113242878,0.011041950737777582,0.007317008677661184,0.013602519647807057,0.013587924449761419,0.011580481781893474,0.0058162845735978165,0.009608113520676786,60,0.012418251701131089,1.2924755389709799,
repr_grid,expanding,3,40,40,0.010454042301622304,0.010587368417567184,0.008881923178927983,0.012161087659340208,0.011767487758197078,0.011408029633083891,0.004142704780835432,0.009608113520676786,60,0.012418251701131089,1.2924755389709799,
repr_grid,expanding,3,50,40,0.010025224506137003,0.01003220189824677,0.008645347158608452,0.01167661017432956,0.01052516102069011,0.01146707676752229,0.0028494663855158395,0.009608113520676786,60,0.012418251701131089,1.2924755389709799,
repr_grid,expanding,3,60,1,0.009608113520676786,0.009608113520676786,0.009608113520676786,0.009608113520676786,0.009608113520676786,0.012418251701131089,,0.009608113520676786,60,0.012418251701131089,1.2924755389709799,
repr_grid,expanding,5,20,40,0.013997959244337155,0.01393880316900306,0.009484702546435644,0.01796044297928866,0.018197917242968056,0.013308475325625041,0.00729273119952105,0.01050657241891814,60,0.013555569969852143,1.290199070578334,
repr_grid,expanding,5,30,40,0.011914770281168805,0.01196102365650913,0.008990639117578738,0.014771582192193718,0.01485853720888913,0.014825179652877617,0.005874703054451433,0.01050657241891814,60,0.013555569969852143,1.290199070578334,
repr_grid,expanding,5,40,40,0.011113910304146605,0.011078433556517522,0.009256051123981236,0.013331298445870672,0.012867870685974314,0.012830065182884664,0.004405902695802663,0.01050657241891814,60,0.013555569969852143,1.290199070578334,
repr_grid,expanding,5,50,40,0.01084424768893919,0.010896324730149912,0.00927147191509323,0.01203453998600469,0.011509373431806165,0.013771749169009417,0.0030594605277627996,0.01050657241891814,60,0.013555569969852143,1.290199070578334,
repr_grid,expanding,5,60,1,0.01050657241891814,0.01050657241891814,0.01050657241891814,0.01050657241891814,0.01050657241891814,0.013555569969852143,,0.01050657241891814,60,0.013555569969852143,1.290199070578334,
repr_grid,rolling_9m_3m,1,20,40,0.005087833920603091,0.005166008306991628,0.0038274660129107795,0.006305032754469174,0.003864634491628494,0.003397823977572448,0.004034515559576611,0.0022312477640612236,60,0.0028757735339404416,1.2888633796123472,
