model,feature_set,scheme,horizon,sharpe,annualized_return,max_drawdown,deflation_benchmark_sr0,excess_over_benchmark,survives_deflation
XGBoost,repr_svi,rolling_9m_3m,3,0.1023511185471715,0.0230582196519573,-0.3967906198256792,1.152899522776316,-1.0505484042291444,False
OLS,A,rolling_9m_3m,3,0.0962572232857508,0.0229513891427128,-0.4656537120119572,1.152899522776316,-1.056642299490565,False
OLS,repr_svi,rolling_9m_3m,3,0.0962572232857508,0.0229513891427128,-0.4656537120119572,1.152899522776316,-1.056642299490565,False
XGBoost,repr_bkm,expanding,3,0.0897756801634248,0.0214132762729655,-0.4183956553415681,1.152899522776316,-1.063123842612891,False
XGBoost,candidate_6,rolling_9m_3m,1,0.0816174191358066,0.0187996324616832,-0.3945871946641562,1.152899522776316,-1.0712821036405094,False
XGBoost,repr_grid_raw,expanding,3,0.0773775584311665,0.0183417458428742,-0.5205045001778082,1.152899522776316,-1.0755219643451495,False
OLS,repr_grid_raw,expanding,5,0.0547497634209249,0.0142946023703509,-0.7315472760253239,1.152899522776316,-1.098149759355391,False
OLS,repr_grid,expanding,5,0.0505472166995628,0.0131886551453341,-0.7315472760253238,1.152899522776316,-1.102352306076753,False
OLS,D,expanding,5,0.0505472166995628,0.0131886551453341,-0.7315472760253238,1.152899522776316,-1.102352306076753,False
OLS,repr_svi,expanding,5,0.0418082397326957,0.0109024184179977,-0.731547276025324,1.152899522776316,-1.1110912830436201,False
OLS,A,expanding,5,0.0418082397326957,0.0109024184179977,-0.731547276025324,1.152899522776316,-1.1110912830436201,False
FFNN,D,rolling_9m_3m,1,0.0185326642367541,0.0040901840046947,-0.4204346128182966,1.152899522776316,-1.1343668585395619,False
FFNN,candidate_6,expanding,1,0.0075475719978255,0.0012127831947259,-0.4197569951449643,1.152899522776316,-1.1453519507784904,False
FFNN,D,rolling_9m_3m,3,0.0002586984230421,5.6086569914404194e-05,-0.4686567281725353,1.152899522776316,-1.1526408243532738,False
FFNN,A,expanding,1,-0.003672054811792,-0.0008302718869194,-0.391526983489253,1.152899522776316,-1.1565715775881078,False
OLS,repr_bkm,expanding,5,-0.0043118177253022,-0.0011504195362441,-0.7222902738306258,1.152899522776316,-1.157211340501618,False
XGBoost,repr_svi,expanding,3,-0.0054729740988144,-0.0012861386532131,-0.4521404750774816,1.152899522776316,-1.1583724968751303,False
XGBoost,repr_bkm,expanding,1,-0.0181796363694165,-0.0040242096369634,-0.37484615030769,1.152899522776316,-1.1710791591457324,False
XGBoost,repr_svi,rolling_9m_3m,1,-0.0210899679133373,-0.0046349141352702,-0.521058233148703,1.152899522776316,-1.1739894906896533,False
FFNN,B,rolling_9m_3m,5,-0.0213589630732577,-0.0033306164379319,-0.376768071687088,1.152899522776316,-1.1742584858495737,False
FFNN,A,rolling_9m_3m,1,-0.0447966758501423,-0.0101792737693662,-0.5433234236556267,1.152899522776316,-1.1976961986264583,False
XGBoost,repr_grid,rolling_9m_3m,5,-0.046253190032524,-0.0111551123596203,-0.6796183251838693,1.152899522776316,-1.19915271280884,False
FFNN,candidate_6,expanding,5,-0.0701283955375632,-0.0099588356763864,-0.4003830323228315,1.152899522776316,-1.223027918313879,False
XGBoost,D,rolling_9m_3m,5,-0.0823856506496182,-0.0202082709399956,-0.5688076565363644,1.152899522776316,-1.235285173425934,False
FFNN,candidate_6,rolling_9m_3m,5,-0.1115314701235657,-0.0218719880686595,-0.461933807391795,1.152899522776316,-1.2644309928998816,False
XGBoost,D,rolling_9m_3m,1,-0.1185316370743714,-0.0279432723663044,-0.6399390029788988,1.152899522776316,-1.2714311598506873,False
XGBoost,C,expanding,3,-0.1206474173820783,-0.0281095171510832,-0.6428450350718896,1.152899522776316,-1.2735469401583943,False
XGBoost,B,rolling_9m_3m,3,-0.1220549572213175,-0.0273296184542727,-0.5145917463536046,1.152899522776316,-1.2749544799976333,False
FFNN,candidate_6,rolling_9m_3m,3,-0.1224731405014863,-0.0192095787961248,-0.5877851752490283,1.152899522776316,-1.2753726632778022,False
FFNN,C,rolling_9m_3m,5,-0.1321765524261712,-0.0195247902048212,-0.4975987600082663,1.152899522776316,-1.285076075202487,False
OLS,repr_bkm,expanding,3,-0.1644719913781385,-0.0411460340970678,-0.7047013983569651,1.152899522776316,-1.3173715141544544,False
FFNN,B,expanding,3,-0.1908978720545167,-0.0296469379875011,-0.4750554017714826,1.152899522776316,-1.3437973948308326,False
FFNN,B,rolling_9m_3m,3,-0.2028906346432318,-0.0295175307822569,-0.4800893713006061,1.152899522776316,-1.3557901574195477,False
FFNN,candidate_6,expanding,3,-0.2135572259967863,-0.0305016348203845,-0.3841632009754784,1.152899522776316,-1.3664567487731023,False
OLS,repr_bkm,expanding,1,-0.2611635926740639,-0.0648845203018629,-0.7237980046010791,1.152899522776316,-1.4140631154503798,False
OLS,repr_svi,expanding,3,-0.2656752847484322,-0.0667947837805804,-0.7039206185968004,1.152899522776316,-1.4185748075247482,False
OLS,A,expanding,3,-0.2656752847484322,-0.0667947837805804,-0.7039206185968004,1.152899522776316,-1.4185748075247482,False
TFT,C,rolling_9m_3m,1,-0.2732850478157224,-0.0587481073372373,-0.5107216129228329,1.152899522776316,-1.4261845705920382,False
OLS,repr_grid_raw,expanding,3,-0.2745263333243671,-0.0690812151494979,-0.7088985280798175,1.152899522776316,-1.427425856100683,False
OLS,repr_grid,expanding,3,-0.2745263333243671,-0.0690812151494979,-0.7088985280798175,1.152899522776316,-1.427425856100683,False
OLS,D,expanding,3,-0.2745263333243671,-0.0690812151494979,-0.7088985280798175,1.152899522776316,-1.427425856100683,False
TFT,B,expanding,1,-0.2877688789667832,-0.0689648230781095,-0.617831657782982,1.152899522776316,-1.440668401743099,False
FFNN,C,expanding,5,-0.2950924654022466,-0.0473525991176464,-0.3725117410291694,1.152899522776316,-1.4479919881785626,False
FFNN,C,expanding,1,-0.3145342952453479,-0.0457040586344662,-0.5470515865344272,1.152899522776316,-1.4674338180216637,False
OLS,C,expanding,5,-0.3458061637949023,-0.0601770540387739,-0.4755184613139893,1.152899522776316,-1.4987056865712183,False
OLS,B,expanding,5,-0.3458061637949023,-0.0601770540387739,-0.4755184613139893,1.152899522776316,-1.4987056865712183,False
OLS,repr_svi,expanding,1,-0.3842809135824773,-0.0947489239628851,-0.7283077450678237,1.152899522776316,-1.5371804363587933,False
OLS,A,expanding,1,-0.3853510357883049,-0.0950132114752437,-0.7283077450678234,1.152899522776316,-1.538250558564621,False
OLS,repr_grid,expanding,1,-0.3854724754732692,-0.0949618400550612,-0.731002998400059,1.152899522776316,-1.5383719982495851,False
OLS,D,expanding,1,-0.3854724754732692,-0.0949618400550612,-0.731002998400059,1.152899522776316,-1.5383719982495851,False
OLS,repr_grid_raw,expanding,1,-0.386452902411415,-0.0951997605344627,-0.7310029984000596,1.152899522776316,-1.5393524251877309,False
OLS,B,expanding,3,-0.4167644716443612,-0.074038835212463,-0.5191177369550175,1.152899522776316,-1.5696639944206772,False
OLS,C,expanding,3,-0.4167644716443612,-0.074038835212463,-0.5191177369550175,1.152899522776316,-1.5696639944206772,False
FFNN,B,expanding,1,-0.436069336146194,-0.0692678658411135,-0.5533838781128823,1.152899522776316,-1.58896885892251,False
TFT,C,expanding,1,-0.4691942710771318,-0.114007326007667,-0.621889855105994,1.152899522776316,-1.6220937938534477,False
OLS,C,expanding,1,-0.5275156000058923,-0.0981355454962364,-0.5951106046343121,1.152899522776316,-1.6804151227822082,False
OLS,B,expanding,1,-0.5275156000058923,-0.0981355454962364,-0.5951106046343121,1.152899522776316,-1.6804151227822082,False
TFT,A,rolling_9m_3m,1,-0.6817609669091481,-0.1589285662325509,-0.7710535869122448,1.152899522776316,-1.8346604896854641,False
FFNN,candidate_6,rolling_9m_3m,1,-0.7585821120066608,-0.1148937746476294,-0.6947555133481418,1.152899522776316,-1.9114816347829766,False
FFNN,C,rolling_9m_3m,1,-0.8786830228723587,-0.1300691183124622,-0.7340208388947325,1.152899522776316,-2.0315825456486745,False
TFT,B,rolling_9m_3m,1,-0.9529923024436532,-0.1758193016471771,-0.704241783679559,1.152899522776316,-2.105891825219969,False
