model,oos_r2,rmse,mae,ic,ic_ir,accuracy,precision,recall,f1,long_only_accuracy,n_long_predictions,sharpe_ratio,max_drawdown,total_return,win_rate,win_loss_ratio,n_trades,final_equity,n_periods,window,train_start,train_end,test_start,test_end,n_train,n_test,feature_set
window_8,-0.0411349779527268,0.04226211691053187,0.03167020955094224,-0.02454244298806662,0.0005818989655228779,0.4891041162227603,0.4849315068493151,0.781888459414688,0.5986049461001902,0.4849315068493151,2920,-2.137164095053825,-0.36944946377485405,-23.798465875215214,0.4603174603174603,0.8492865434105358,701,7620.1534124784785,63,8,2018-01-03,2018-10-02,2018-10-03,2019-01-03,11151,3717,B
window_9,-0.04670774200175054,0.02595541916880319,0.01809162077703365,0.008743755976714491,0.11911360852421511,0.5195049771320958,0.6526155408836973,0.5383326351068286,0.5899908172635445,0.6526155408836973,1969,6.660229156695769,-0.06375765985254614,42.67455870041124,0.6885245901639344,1.4243486196806459,863,14267.455870041123,63,9,2018-04-05,2019-01-03,2019-01-04,2019-04-04,11151,3717,B
window_10,0.012970883903668518,0.02493286070999151,0.018217523452877367,0.09716765356290913,0.5684757448421764,0.5480225988700564,0.5662607449856734,0.771219512195122,0.6530359355638166,0.5662607449856734,2792,2.9304311079448193,-0.11387288585032528,16.05192406036846,0.5714285714285714,1.1878194254628895,815,11605.192406036846,63,10,2018-07-05,2019-04-04,2019-04-05,2019-07-05,11151,3717,B
window_11,-0.10618401881250028,0.028388253752703776,0.020618943916523934,-0.13570639412939453,-0.8599925374595052,0.46919558783965565,0.4829329962073325,0.6057082452431289,0.5373974208675264,0.4829329962073325,2373,-1.5714974088031661,-0.2055922398250104,-9.953191737474176,0.47619047619047616,0.8483749758821821,815,9004.680826252583,63,11,2018-10-03,2019-07-05,2019-07-08,2019-10-03,11151,3717,B
window_12,-0.07863311153474695,0.023030056039085946,0.01571359438933259,-0.0028220305282425978,0.41928083824699913,0.5641646489104116,0.6188085676037484,0.7935622317596567,0.6953742008273787,0.6188085676037484,2988,10.979089610983788,-0.03489562833509274,38.96510639489661,0.7619047619047619,1.7521483114995267,587,13896.510639489661,63,12,2019-01-04,2019-10-03,2019-10-04,2020-01-03,11151,3717,B
window_13,-0.02667204478844165,0.0740861740563607,0.04842917942530128,-0.02543462486160681,-0.15675970358681424,0.5076674737691687,0.49561659848042083,0.9422222222222222,0.6495595557257756,0.49561659848042083,3422,-1.520518139659968,-0.6836862362664511,-35.39484815333683,0.5714285714285714,0.5647364952195717,289,6460.515184666317,63,13,2019-04-05,2020-01-03,2020-01-06,2020-04-03,11151,3717,B
window_14,-0.08475098568566763,0.04724362051157566,0.03408929682977832,-0.09606249414719954,-0.9680175418086313,0.49179445789615284,0.5522332964193429,0.6887661141804788,0.6129891415693506,0.5522332964193429,2709,5.323854479619376,-0.15215157611242228,74.69781631235021,0.6984126984126984,0.9808379492138266,817,17469.781631235022,63,14,2019-07-08,2020-04-03,2020-04-06,2020-07-06,11151,3717,B
window_15,-0.06131874991473141,0.03473626352181805,0.02335906392762249,0.08096263966804541,0.7368543063440984,0.5655098197471079,0.5744132799084144,0.9400468384074941,0.7130929117072304,0.5744132799084144,3494,3.9205673072558156,-0.1911362076988711,28.468874744974727,0.6666666666666666,0.9344626711558527,273,12846.887474497473,63,15,2019-10-04,2020-07-06,2020-07-07,2020-10-02,11151,3717,B
window_16,0.004690766961481185,0.036171843183135856,0.025256942553779773,0.06567363590967919,0.5623444094067793,0.5555555555555556,0.5763888888888888,0.7618357487922706,0.6562630045776113,0.5763888888888888,2736,6.1848398281216035,-0.19698017203520815,58.377781468942345,0.6666666666666666,1.4063779441104292,727,15837.778146894234,63,16,2020-01-06,2020-10-02,2020-10-05,2021-01-04,11151,3717,B
window_17,0.027022160574693976,0.031129137088802394,0.02292229453234943,0.23826661169039098,1.4058951927532057,0.5867635189669088,0.5891351857633469,0.8955861414333175,0.7107344632768362,0.5891351857633469,3203,4.935172109541596,-0.09515976620300906,32.90500671525744,0.6190476190476191,1.3559696985228966,429,13290.500671525744,63,17,2020-04-06,2021-01-04,2021-01-05,2021-04-06,11151,3717,B
window_18,-0.046355674471053376,0.024510179402494035,0.017903271821095957,0.038893875074336226,0.4699802089732074,0.5271068169618894,0.5575925285368385,0.7694510739856802,0.6466105094263939,0.5575925285368385,2891,1.3021434501847746,-0.08809336631821603,5.701398066798147,0.6666666666666666,0.6193881851306956,605,10570.139806679814,63,18,2020-07-07,2021-04-06,2021-04-07,2021-07-13,11151,3726,B
window_19,-0.03139363210279411,0.024943110817486312,0.018366375660096183,0.06379261791902313,0.4634442824449542,0.5317460317460317,0.5329362298528382,0.7768130745658836,0.6321695760598504,0.5329362298528382,2854,0.8611669070867475,-0.11471105241889425,3.617974633121679,0.5873015873015873,0.8022779761051018,804,10361.797463312168,63,19,2020-10-05,2021-07-13,2021-07-14,2021-10-11,11160,3780,B
window_20,-0.018502905650667367,0.03100250840199371,0.022222185938494145,0.054152568687389935,0.3182021300895798,0.5452380952380952,0.5764192139737991,0.7405329593267882,0.6482504604051565,0.5764192139737991,2748,5.109294316010654,-0.1072917039583936,29.07082873584792,0.6349206349206349,1.2380993629204364,863,12907.082873584792,63,20,2021-01-05,2021-10-11,2021-10-12,2022-01-10,11223,3780,B
window_21,0.0003005997287321982,0.03865475557216815,0.028835056413874658,0.06762661825491299,0.5427660238285047,0.5010723860589812,0.4914191419141914,0.8231066887783306,0.6154164083488324,0.4914191419141914,3030,-1.0709404399956195,-0.2111572246612401,-9.646720961288423,0.4444444444444444,1.054644313905863,807,9035.327903871157,63,21,2021-04-07,2022-01-10,2022-01-11,2022-04-11,11286,3730,B
window_22,-0.03352912830596466,0.043720771994561314,0.031876869451405256,0.0894674178682047,0.8230618143456072,0.5085561497326203,0.4795505617977528,0.6107613050944476,0.5372608257804632,0.4795505617977528,2225,-2.474749983381798,-0.36794506073324723,-26.509775180311024,0.47619047619047616,0.7423848072204899,825,7349.022481968897,63,22,2021-07-14,2022-04-11,2022-04-12,2022-07-13,11290,3740,B
window_23,-0.04164287927957533,0.03876295539651716,0.02943200562376093,0.03964247021279512,0.04704887030721767,0.5074074074074074,0.4604982206405694,0.36950314106225013,0.4100126742712294,0.4604982206405694,1405,-1.9343367049924272,-0.3950509637209227,-19.97342126325784,0.47619047619047616,0.8061676281672356,920,8002.657873674216,63,23,2021-10-12,2022-07-13,2022-07-14,2022-10-11,11250,3780,B
window_24,-0.04318826480564297,0.03897263826294372,0.028203942336159426,0.1286545282949783,1.0498083870210908,0.48068783068783066,0.686,0.2937901498929336,0.4113943028485757,0.686,1000,8.976775590357644,-0.034526904390131,85.88717753699949,0.6666666666666666,3.57400584341541,798,18588.717753699948,63,24,2022-01-11,2022-10-11,2022-10-12,2023-01-11,11250,3780,B
window_25,-0.03395270223313984,0.03160835782973892,0.02240634797855988,0.10190843524231535,0.5567008202149687,0.533068783068783,0.5768566493955095,0.49311023622047245,0.5317060228177235,0.5768566493955095,1737,2.3854181306031386,-0.1470225592936211,17.072499186955483,0.5737704918032787,1.107618872451675,1042,11707.249918695548,63,25,2022-04-12,2023-01-11,2023-01-12,2023-04-13,11300,3780,B
window_26,-0.051992824078181066,0.02948811487363631,0.020851132097891564,0.04030583265820187,0.2376198248362689,0.5071428571428571,0.5515256188831318,0.4691478942213516,0.5070124371526858,0.5515256188831318,1737,2.738467949369407,-0.17656909557222666,22.97043222983963,0.5396825396825397,1.3296828878072269,819,12297.043222983963,63,26,2022-07-14,2023-04-13,2023-04-14,2023-07-14,11340,3780,B
window_27,-0.01201667011047447,0.02698881256020534,0.019798172399257744,0.03583256043136257,0.4114059261236251,0.49126984126984125,0.46503496503496505,0.6867469879518072,0.5545517720639332,0.46503496503496505,2574,-1.7677212718215636,-0.2016610215763693,-9.493767680716536,0.5238095238095238,0.6828937430741095,806,9050.623231928346,63,27,2022-10-12,2023-07-14,2023-07-17,2023-10-12,11340,3780,B
window_28,-0.059818232302342844,0.029519553962249444,0.021405240857504726,-0.07278024596393154,-0.4029475953912165,0.4873015873015873,0.5635723713154421,0.5752132914234396,0.5693333333333334,0.5635723713154421,2273,4.960048813906768,-0.12329689979021466,31.657724915795104,0.6031746031746031,1.5111634874030704,869,13165.77249157951,63,28,2023-01-12,2023-10-12,2023-10-13,2024-01-12,11340,3780,B
window_29,-0.028794244667628588,0.02683607022713463,0.019185872223224723,-0.03536220104822367,-0.34790087972215394,0.5034391534391535,0.53085600530856,0.7755695588948134,0.6302934804018121,0.53085600530856,3014,3.39209744686548,-0.12442176965611274,15.086892928365048,0.6190476190476191,1.0546186927485308,591,11508.689292836505,63,29,2023-04-14,2024-01-12,2024-01-16,2024-04-15,11340,3780,B
window_30,-0.026232079990607948,0.029754720768338492,0.02020524045984233,0.03544858903555143,0.17990888885593478,0.5568783068783069,0.5880546075085324,0.7863989046097672,0.6729154462019137,0.5880546075085324,2930,6.533983392124346,-0.0634924271933801,29.258902132808686,0.6349206349206349,1.557118217786065,626,12925.890213280869,63,30,2023-07-17,2024-04-15,2024-04-16,2024-07-16,11340,3780,B
